Date,AAPL,GOOG,FB
1/2/2020,74.207466,1367.369995,209.779999
1/3/2020,73.486023,1360.660034,208.669998
1/6/2020,74.071579,1394.209961,212.600006
1/7/2020,73.723213,1393.339966,213.059998
1/8/2020,74.909149,1404.319946,215.220001
1/9/2020,76.500275,1419.829956,218.300003
1/10/2020,76.673225,1429.72998,218.059998
1/13/2020,78.311295,1439.22998,221.910004
1/14/2020,77.253838,1430.880005,219.059998
1/15/2020,76.922775,1439.199951,221.149994
1/16/2020,77.886337,1451.699951,221.770004
1/17/2020,78.748619,1480.390015,222.139999
1/21/2020,78.214951,1484.400024,221.440002
1/22/2020,78.494141,1485.949951,221.320007
1/23/2020,78.872154,1486.650024,219.759995
1/24/2020,78.644852,1466.709961,217.940002
1/27/2020,76.332275,1433.900024,214.869995
1/28/2020,78.491669,1452.560059,217.789993
1/29/2020,80.134674,1458.630005,223.229996
1/30/2020,80.018555,1455.839966,209.529999
1/31/2020,76.470634,1434.22998,201.910004
2/3/2020,76.260628,1485.939941,204.190002
2/4/2020,78.778267,1447.069946,209.830002
2/5/2020,79.420647,1448.22998,210.110001
2/6/2020,80.349632,1476.22998,210.850006
2/7/2020,79.257469,1479.22998,212.330002
2/10/2020,79.633904,1508.680054,213.059998
2/11/2020,79.153442,1508.790039,207.190002
2/12/2020,81.033165,1518.27002,210.759995
2/13/2020,80.456116,1514.660034,213.139999
2/14/2020,80.475937,1520.73999,214.179993
2/18/2020,79.00238,1519.670044,217.800003
2/19/2020,80.146545,1526.689941,217.490005
2/20/2020,79.324333,1518.150024,214.580002
2/21/2020,77.528809,1485.109985,210.179993
2/24/2020,73.846161,1421.589966,200.720001
2/25/2020,71.344841,1388.449951,196.770004
2/26/2020,72.476631,1393.180054,197.199997
2/27/2020,67.738968,1318.089966,189.75
2/28/2020,67.699341,1339.329956,192.470001
3/2/2020,74.002197,1389.109985,196.440002
3/3/2020,71.651932,1341.390015,185.889999
3/4/2020,74.975479,1386.52002,191.759995
3/5/2020,72.543495,1319.040039,185.169998
3/6/2020,71.580124,1298.410034,181.089996
3/9/2020,65.918694,1215.560059,169.5
3/10/2020,70.666267,1280.390015,178.190002
3/11/2020,68.21199,1215.410034,170.240005
3/12/2020,61.475739,1114.910034,154.470001
3/13/2020,68.841034,1219.72998,170.279999
3/16/2020,59.984844,1084.329956,146.009995
3/17/2020,62.622387,1119.800049,149.419998
3/18/2020,61.089394,1096.800049,146.960007
3/19/2020,60.621319,1115.290039,153.130005
